1. Prepare Answer Key,1. Chuẩn bị đáp án
2. Run Auto Grading,2. Chạy chấm điểm tự động
3 responses need manual override.,3 phản hồi cần ghi đè thủ công.
3. Review Flags,3. Rà soát cờ cảnh báo
4-Option Multiple Choice,Trắc nghiệm 4 đáp án
5 mini-games available,Có sẵn 5 trò chơi nhỏ
98% Chính xác,Chính xác 98%
"<p>Dear {{ member_name }},</p>

<p>You have been enrolled in our upcoming batch {{ batch_name }}.</p>

<p>Thanks,</p>
<p>Frappe Learning</p>","<p>Kính gửi {{ member_name }},</p>

<p>Bạn đã được ghi danh vào đợt {{ batch_name }} sắp tới của chúng tôi.</p>

<p>Cảm ơn,</p>
<p>Học sinh tố</p>"
[Socratic Debug] Aborted because request_id is not in pendingRequests,[Socratic Debug] Bỏ qua vì request_id không có trong pendingRequests
[Socratic Debug] Error calling retry_analysis API,[Socratic Debug] Lỗi khi gọi retry_analysis API
[Socratic Debug] Error from server:,[Socratic Debug] Lỗi từ server:
[Socratic Debug] Payload is missing request_id,[Socratic Debug] Payload thiếu request_id
[Socratic Debug] Re-grade the paper. New Request ID:,[Socratic Debug] Chấm lại bài. Request ID mới:
[Socratic Debug] Receive payload from WebSocket:,[Socratic Debug] Nhận payload từ WebSocket:
[Socratic Debug] Refreshed conversation history,[Socratic Debug] Đã làm mới lịch sử hội thoại
[Socratic Debug] Send message. Request ID:,[Socratic Debug] Gửi tin nhắn. Request ID:
A one line introduction to the course that appears on the course card,Một dòng giới thiệu về khóa học xuất hiện trên thẻ khóa học
About,Giới thiệu
About the Course,Giới thiệu về khóa học
About this batch,Về đợt hàng này
Academic & General Training,Học thuật & Đào tạo chung
Accepted Answer,Đáp án chấp nhận
Access AI-powered learning and grading tools from one place.,Truy cập các công cụ học tập và chấm điểm được hỗ trợ bởi AI từ một nơi.
Account ID,Mã tài khoản
Account Name,Tên tài khoản
Achievements,Thành tựu
Across all graded papers,Tính trên tất cả bài đã chấm
Action,Hoạt động
Actions,hành động
Active,Tích cực
Active Members,Thành viên tích cực
activities,các hoạt động
activity,hoạt động
Add,Thêm
Add & Start Grading,Thêm và bắt đầu chấm điểm
Add a chapter,Thêm một chương
Add a course,Thêm một khóa học
Add a keyword and then press enter,Thêm từ khóa rồi nhấn enter
Add a lesson,Thêm một bài học
Add a new member,Thêm thành viên mới
Add a new question,Thêm câu hỏi mới
Add a program,Thêm chương trình
Add a programming exercise to your lesson,Thêm bài tập lập trình vào bài học của bạn
Add a quiz to your lesson,Thêm bài kiểm tra vào bài học
Add an assessment,Thêm một bài đánh giá
Add an assignment to your lesson,Thêm bài tập vào bài học
Add Chapter,Thêm chương
Add Course to Program,Thêm khóa học vào chương trình
Add courses to your batch,Thêm khóa học vào lớp
Add Criterion,Thêm tiêu chí
Add Essay Submission,Thêm bài làm tự luận
Add Evaluator,Thêm người đánh giá
Add Lesson,Thêm bài học
Add New Student,Thêm sinh viên mới
Add Question,Thêm câu
Add quiz to this video,Thêm bài kiểm tra vào video này
Add Quiz to Video,Thêm bài kiểm tra vào video
Add Row,Thêm dòng
Add Slot,Thêm vị trí
Add Student,Thêm học sinh
Add students to your batch,Thêm học viên vào lớp
Add Test Case,Thêm trường hợp thử nghiệm
Add to Notes,Thêm vào ghi chú
Add Transaction,Thêm giao dịch
Add web page to sidebar,Thêm trang web vào thanh bên
Add your comments...,Nhập lời nhận xét của bạn...
Add your first chapter,Thêm chương đầu tiên
Add your first lesson,Thêm bài học đầu tiên
Added Submissions,Danh sách bài đã thêm
Additional Instructions,Hướng dẫn bổ sung
Additional requirements,Yêu cầu bổ sung
Address,Địa chỉ
Address Line 1,Dòng địa chỉ 1
Address Line 2,Dòng địa chỉ 2
Adequate,Đủ
Admin Dashboard,Thống kê AI
Advanced,Nâng cao / Chuyên
Advanced Search,Tìm kiếm nâng cao
AI Active Model,Model AI đang sử dụng
AI Analysis,AI Phân tích
AI Analytics,Phân tích AI
AI ASSISTANT,AI TRỢ LÝ
AI can make mistakes. Please verify important information.,AI có thể mắc lỗi. Vui lòng kiểm tra lại thông tin quan trọng.
AI Configuration,Cấu hình AI
AI Feedback Summary:,Tóm tắt phản hồi từ AI:
AI Generated,AI được tạo
AI Grade,Lớp AI
AI Grading,Chấm điểm AI
AI Grading Dashboard,Bảng quản lý AI
AI Grading Help Center,Trung tâm trợ giúp chấm điểm AI
AI Grading Notes,Lưu ý cho AI khi chấm
AI Grading Result: {0},Kết quả chấm điểm AI: {0}
AI Grading...,Xếp hạng AI...
AI Hub,Trung tâm AI
AI Insights,Thông tin chi tiết về AI
AI Integration,Tích hợp AI
AI Integration Dashboard,Trang tổng quan tích hợp AI
AI is analyzing and generating the question set. You can track progress on the Dashboard.,AI đang tiến hành phân tích và tạo bộ đề. Bạn có thể theo dõi tiến độ tại Dashboard.
AI Learning Assistant,Trợ lý học tập AI
AI Notes,AI Nhận xét
AI Objective Grading,AI Chấm điểm khách quan
AI Quiz Creator,Người tạo câu đố AI
AI Rubric,Phiếu tự đánh giá AI
AI Rubric Builder,Trình tạo phiếu tự đánh giá AI
AI score breakdown with trends and suggestions for improvement.,Bảng phân tích điểm số AI với xu hướng và đề xuất cải thiện.
AI Suggested Score,AI Đề Xuất Điểm
AI suggestions generated,awaiting approval.
"AI suggestions generated, awaiting approval.","Đề xuất AI đã được tạo, đang chờ phê duyệt."
AI-assisted rubric generation with manual editing. Create detailed assessment criteria in seconds.,Tạo phiếu tự đánh giá được hỗ trợ bởi AI với tính năng chỉnh sửa thủ công. Tạo tiêu chí đánh giá chi tiết trong vài giây.
All,Tất cả
All AI grading results have been satisfactory,Tất cả kết quả chấm điểm AI đều đạt yêu cầu
All Badges,Tất cả huy hiệu
All Batches,Tất cả các lớp
All Categories,Tất cả danh mục
All Classes,Tất cả lớp học
All Courses,Tất cả khóa học
"All instances where teachers marked AI grading as ""Dissatisfied""","Toàn bộ các trường hợp giáo viên đánh giá AI chấm ""Chưa hài lòng"""
All Live Courses,Tất cả khóa học đang mở
All Live Courses ({0}),Tất cả khóa học đang mở ({0})
All Programs,Tất cả chương trình
All Rounds Complete!,Tất cả các vòng hoàn thành!
All Status,Tất cả trạng thái
All Statuses,Tất cả trạng thái
All students scored 5.0 or above!,Tất cả học sinh đều đạt từ 5.0 trở lên!
All Time,Mọi thời đại
Allow Guest Access,Cho phép khách truy cập
Allow self enrollment,Cho phép tự đăng ký
Amber,Màu vàng cam
Amount,Số tiền
Amount with GST,Số tiền bao gồm GST
An error occurred. Please try again later.,Đã xảy ra lỗi. Vui lòng thử lại sau.
An error occurred. Please try again.,Đã có lỗi xảy ra. Vui lòng thử lại.
Analytics & Export,Phân tích & Xuất
and,Và
and then 'Add to Home Screen',và sau đó 'Thêm vào màn hình chính'
Annotate,Ghi chú
Announcement,Thông báo
Announcement has been sent successfully,Đã gửi thông báo thành công
Announcement is required,Cần có nội dung thông báo
Announcements,Thông báo
Answer,Trả lời
Answer List,Danh sách Đáp án
Answer questions before time runs out,Trả lời câu hỏi trước khi hết giờ
Any specific requirements...,Mọi yêu cầu cụ thể...
Applicable For,Áp dụng cho
applicant,người xin việc
applicants,ứng viên
Application,Ứng dụng
Applications,Ứng dụng
Applied On,Áp dụng vào
Apply,Áp dụng
Apply + Analyze,Áp dụng + Phân tích
Apply for Certificate,Đăng ký nhận chứng chỉ
Apply for this job,Ứng tuyển công việc này
Apply GST for India,Áp dụng GST cho Ấn Độ
Apply rounding on equivalent,Áp dụng làm tròn số tương đương
Approve & Next,Duyệt & Tới bài tiếp
Approved,Đã duyệt
Apps,Ứng dụng
Archived,Đã lưu trữ
Are you sure you want to cancel this evaluation? This action cannot be undone.,Bạn có chắc muốn hủy lịch đánh giá này không? Hành động này không thể hoàn tác.
Are you sure you want to delete this conversation history?,Bạn có chắc chắn muốn xóa lịch sử cuộc trò chuyện này?
Are you sure you want to delete this discussion session? All messages will be lost.,Bạn có chắc chắn muốn xóa phiên thảo luận này? Toàn bộ tin nhắn sẽ bị mất.
Are you sure you want to delete this image?,Bạn có chắc chắn muốn xóa hình ảnh này?
Are you sure you want to delete this program? This action cannot be undone.,Bạn có chắc chắn muốn xóa chương trình này? Không thể hoàn tác hành động này.
Are you sure you want to delete this question set?,Bạn có chắc chắn muốn xóa bộ đề này không?
Are you sure you want to delete this question?,Bạn có chắc muốn xóa câu hỏi này?
Are you sure you want to delete this rubric?,Bạn có chắc chắn muốn xóa phiếu tự đánh giá này không?
Are you sure you want to delete this student?,Bạn có chắc chắn muốn xóa sinh viên này?
Are you sure you want to enroll?,Bạn có chắc chắn muốn đăng ký không?
Are you sure you want to login to your Frappe Cloud dashboard?,Bạn có chắc chắn muốn đăng nhập vào bảng điều khiển Frappe Cloud của mình không?
Are you sure you want to refresh this conversation?,Bạn có chắc chắn muốn làm mới cuộc hội thoại này?
Are you sure you want to sync this question set to the official LMS system?,Bạn có chắc muốn đồng bộ bộ đề này sang hệ thống LMS chính thức không?
Ask a Question,Đặt câu hỏi
Ask a question about your lesson...,Đặt câu hỏi về bài học của bạn...
Ask a question to get help from the community.,Đặt câu hỏi để nhận được sự giúp đỡ từ cộng đồng.
"Ask about lessons, deadlines, and learning strategies. The assistant gives quick guidance for students.","Hỏi về bài học, thời hạn và chiến lược học tập. Trợ lý hướng dẫn nhanh chóng cho học viên."
Ask clear questions with course and lesson context for better answers.,Đặt câu hỏi rõ ràng với bối cảnh khóa học và bài học để có câu trả lời tốt hơn.
Ask me about your lesson...,Hỏi tôi bất cứ điều gì về bài học của bạn...
